lang,window,score
en,1,4.372362763723627
en,2,9.123887611238876
en,3,14.707129287071293
en,4,20.162783721627836
en,5,26.51124887511249
en,6,32.87121287871213
en,7,40.08969103089691
en,8,47.114888511148884
en,9,54.61203879612039
en,10,59.20927907209279
en,11,67.14958504149585
en,12,75.16998300169983
en,13,83.78832116788321
en,14,92.13188681131886
en,15,101.05439456054394
en,16,109.71362863713628
en,17,118.96990300969902
en,18,127.9025097490251
en,19,137.08059194080593
en,20,143.45735426457355
en,21,152.83241675832417
en,22,162.11778822117788
en,23,171.92560743925608
en,24,181.34786521347866
en,25,191.24687531246875
en,26,200.76542345765424
en,27,210.79502049795022
en,28,220.41465853414658
en,29,230.23827617238277
en,30,237.25197480251975
ja,1,1.110888911108889
ja,2,2.342065793420658
ja,3,3.6935306469353066
ja,4,5.165283471652835
ja,5,6.757324267573242
ja,6,8.469653034696531
ja,7,10.302269773022697
ja,8,12.255174482551745
ja,9,14.328367163283671
ja,10,15.532846715328468
ja,11,17.727927207279272
ja,12,19.943405659434056
ja,13,22.17928207179282
ja,14,24.435556444355566
ja,15,26.712228777122288
ja,16,29.00929907009299
ja,17,31.326767323267674
ja,18,33.65463453654635
ja,19,35.99400059994001
ja,20,37.4034596540346
ja,21,39.782721727827216
ja,22,42.173382661733825
ja,23,44.57544245575443
ja,24,46.988901109889014
ja,25,49.413758624137586
ja,26,51.85001499850015
ja,27,54.28767123287671
ja,28,56.73782621737826
ja,29,59.20737926207379
ja,30,60.73182681731827
dk,1,3.593940605939406
dk,2,8.216778322167784
dk,3,13.737626237376263
dk,4,19.63953604639536
dk,5,25.762423757624237
dk,6,32.8006199380062
dk,7,40.627737226277375
dk,8,48.824017598240175
dk,9,57.11048895110489
dk,10,63.54784521547845
dk,11,72.3028697130287
dk,12,81.44165583441657
dk,13,90.72132786721328
dk,14,99.73382661733827
dk,15,108.41685831416858
dk,16,117.44915508449155
dk,17,126.57164283571643
dk,18,135.5047495250475
dk,19,144.08849115088492
dk,20,150.3846615338466
dk,21,159.04419558044196
dk,22,168.33346665333465
dk,23,177.97870212978702
dk,24,187.73082691730826
dk,25,197.4136586341366
dk,26,207.6055394460554
dk,27,218.15908409159084
dk,28,228.72582741725827
dk,29,239.15348465153485
dk,30,247.68233176682332
fr,1,4.8703129687031295
fr,2,10.627937206279372
fr,3,16.87211278872113
fr,4,23.63983601639836
fr,5,31.02049795020498
fr,6,38.92260773922608
fr,7,47.134686531346865
fr,8,55.95400459954005
fr,9,65.11798820117988
fr,10,71.94560543945606
fr,11,81.88011198880112
fr,12,92.34776522347765
fr,13,103.13898610138986
fr,14,114.2072792720728
fr,15,125.61673832616738
fr,16,137.25037496250374
fr,17,149.03459654034597
fr,18,161.23487651234876
fr,19,173.5028497150285
fr,20,182.94330566943304
fr,21,195.5901409859014
fr,22,208.4107589241076
fr,23,221.27417258274173
fr,24,234.27487251274871
fr,25,247.34236576342366
fr,26,260.4876512348765
fr,27,273.5155484451555
fr,28,286.72562743725626
fr,29,299.83061693830615
fr,30,310.7208279172083
